INDEX,SCHEDNUM,SITUS_CITY,SITUS_STATE,APPRAISED_TOTAL_VALUE,D_CLASS_CN,SALE_YEAR,SALE_PRICE
3908,22403036000,DENVER,CO,373600,SFR Grade C,2017,10
3919,18107010000,DENVER,CO,337400,SFR Grade C,2017,277500
3928,6.31408E+11,DENVER,CO,367100,SFR Grade C,2017,10
3934,7.04403E+11,DENVER,CO,514000,SFR Grade C,2017,415000
3938,5.11303E+11,DENVER,CO,862800,"SFR Grade C, D, or E, w/RK",2017,673500
3941,2.28115E+11,DENVER,CO,495000,RESIDENTIAL-ROWHOUSE,2017,459000
3945,1.28504E+11,DENVER,CO,205800,RESIDENTIAL-ROWHOUSE,2017,182296
3949,18508022000,DENVER,CO,338500,SFR Grade C,2017,305000
4012,1.27436E+11,DENVER,CO,253300,RESIDENTIAL-ROWHOUSE,2017,223293
4065,2.3551E+11,DENVER,CO,485000,RESIDENTIAL-ROWHOUSE,2017,382500
4070,2.34218E+11,DENVER,CO,326200,RESIDENTIAL-CONDOMINIUM,2017,0
4127,5.02118E+11,DENVER,CO,392900,RESIDENTIAL-CONDOMINIUM,2017,345000
4136,5.1212E+11,DENVER,CO,1104300,RESIDENTIAL-ROWHOUSE,2017,1075000
4208,6.30211E+11,DENVER,CO,370600,"SFR Grade C, D, or E, w/RK",2017,389000
4222,5.21102E+11,DENVER,CO,4057700,INDUSTRIAL-WAREHOUSE,2017,1900000
4234,5.08308E+11,DENVER,CO,328500,"SFR Grade C, D, or E, w/RK",2017,310000
4251,2.21207E+11,DENVER,CO,475500,"SFR Grade C, D, or E, w/RK",2017,405000
4281,2.29424E+11,DENVER,CO,566300,RESIDENTIAL-CONDOMINIUM,2017,441800
4283,5.13403E+11,DENVER,CO,2093100,SFR Grade A,2017,1975000
4285,2.2132E+11,DENVER,CO,608800,"SFR Grade C, D, or E, w/RK",2017,525000
4293,15222015000,DENVER,CO,416600,SFR Grade C,2017,363126
4338,2.27504E+11,DENVER,CO,464700,RESIDENTIAL-CONDOMINIUM,2017,420000
4343,6.19225E+11,DENVER,CO,527300,"SFR Grade C, D, or E, w/RK",2017,470000
4344,5.06409E+11,DENVER,CO,622400,RESIDENTIAL-ROWHOUSE,2017,565000
4352,2.35305E+11,DENVER,CO,524900,RESIDENTIAL-ROWHOUSE,2017,490121
4353,6.15105E+11,DENVER,CO,160300,RESIDENTIAL-CONDOMINIUM,2017,128000
4378,5.20308E+11,DENVER,CO,356200,"SFR Grade C, D, or E, w/RK",2017,260000
4396,4.36107E+11,DENVER,CO,548700,SFR Grade B,2017,0
4403,5.15126E+11,DENVER,CO,527100,SFR Grade C,2017,475000
4417,6.08122E+11,DENVER,CO,448500,RESIDENTIAL-ROWHOUSE,2017,405000
4432,15223019000,DENVER,CO,422900,SFR Grade C,2017,346462
4446,1.30425E+11,DENVER,CO,813600,"SFR Grade C, D, or E, w/RK",2017,675000
4451,2.34102E+11,DENVER,CO,474700,RESIDENTIAL-ROWHOUSE,2017,10
4490,6.21403E+11,DENVER,CO,296500,RESIDENTIAL-ROWHOUSE,2017,260000
4511,1.3231E+11,DENVER,CO,1578500,SFR Grade B,2017,475000
4528,2.27804E+11,DENVER,CO,476700,RESIDENTIAL-CONDOMINIUM,2017,440000
4529,5.11108E+11,DENVER,CO,885700,RESIDENTIAL-ROWHOUSE,2017,680000
4571,2.29319E+11,DENVER,CO,566300,"SFR Grade C, D, or E, w/RK",2017,520000
4581,15220004000,DENVER,CO,484700,SFR Grade C,2017,421101
4586,6.09204E+11,DENVER,CO,1436100,SFR Grade A,2017,1295000
4592,5.01513E+11,DENVER,CO,609000,SFR Grade C,2017,580000
4627,5.22709E+11,DENVER,CO,936900,RESIDENTIAL-ROWHOUSE,2017,10
4669,5.10234E+11,DENVER,CO,933100,"SFR Grade C, D, or E, w/RK",2017,625000
4696,15400049000,DENVER,CO,100,VACANT LAND /GENERAL COMMON ELEMENTS,2017,10
4702,2.28219E+11,DENVER,CO,669000,RESIDENTIAL LAND CONTIGUOUS,2017,10
4710,2.2831E+11,DENVER,CO,478900,RESIDENTIAL-CONDOMINIUM,2017,475000
4723,1.31306E+11,DENVER,CO,946300,SFR Grade C,2017,935000
4729,5.16113E+11,DENVER,CO,1450000,INDUSTRIAL-WAREHOUSE,2017,1125000
4760,1.27412E+11,DENVER,CO,330600,RESIDENTIAL-ROWHOUSE,2017,305000
4761,5.14409E+11,DENVER,CO,1073900,SFR Grade B,2017,10
4785,21109012000,DENVER,CO,433100,SFR Grade C,2017,377500
4820,2.3513E+11,DENVER,CO,886400,"SFR Grade C, D, or E, w/RK",2017,820000
4895,5.06607E+11,DENVER,CO,358200,SFR Grade C,2017,10
4897,2.21216E+11,DENVER,CO,351800,SFR Grade C,2017,1
4904,2.3012E+11,DENVER,CO,953900,RESIDENTIAL-ROWHOUSE,2017,940000
4917,6.10203E+11,DENVER,CO,193200,RESIDENTIAL-ROWHOUSE,2017,10
4942,6.05442E+11,DENVER,CO,560300,SFR Grade B,2017,565000
4946,1.32203E+11,DENVER,CO,532600,SFR Grade C,2017,0
4955,2.32208E+11,DENVER,CO,369400,RESIDENTIAL-ROWHOUSE,2017,380888
4969,2.3312E+11,DENVER,CO,1138000,RESIDENTIAL-CONDOMINIUM,2017,10
5026,2.35416E+11,DENVER,CO,490800,RESIDENTIAL-CONDOMINIUM,2017,416000
5027,6.10203E+11,DENVER,CO,179600,RESIDENTIAL-ROWHOUSE,2017,166348
5068,2.29326E+11,DENVER,CO,919400,RESIDENTIAL-ROWHOUSE,2017,825000
5079,5.23206E+11,DENVER,CO,918700,RESIDENTIAL-ROWHOUSE,2017,750000
5093,1.27204E+11,DENVER,CO,973800,SFR Grade B,2017,865000
5110,2.34128E+11,DENVER,CO,433900,RESIDENTIAL-CONDOMINIUM,2017,415000
5116,4.366E+11,DENVER,CO,10600,VACANT LAND /GENERAL COMMON ELEMENTS,2017,221000
5126,2.30124E+11,DENVER,CO,427800,RESIDENTIAL-ROWHOUSE,2017,10
5133,6.21405E+11,DENVER,CO,303000,RESIDENTIAL-ROWHOUSE,2017,245000
5180,2.34544E+11,DENVER,CO,520800,RESIDENTIAL-CONDOMINIUM,2017,490000
5197,15416001000,DENVER,CO,378600,SFR Grade C,2017,315000
5233,5.20115E+11,DENVER,CO,321300,SFR Grade C,2017,157500
5305,5.02303E+11,DENVER,CO,417600,RESIDENTIAL-CONDOMINIUM,2017,385000
5308,2.16321E+11,DENVER,CO,429500,"SFR Grade C, D, or E, w/RK",2017,394500
5321,2.27633E+11,DENVER,CO,445500,SFR Grade C,2017,304000
5326,8.08307E+11,DENVER,CO,407100,SFR Grade C,2017,0
5334,5.01218E+11,DENVER,CO,870400,SFR Grade B,2017,771375
5335,2.35131E+11,DENVER,CO,636400,"SFR Grade C, D, or E, w/RK",2017,10
5355,2.32233E+11,DENVER,CO,604500,SFR Grade C,2017,0
5357,6.21402E+11,DENVER,CO,281900,RESIDENTIAL-ROWHOUSE,2017,255000
5375,6.0641E+11,DENVER,CO,735700,RESIDENTIAL-ROWHOUSE,2017,540000
5396,5.08527E+11,DENVER,CO,137500,COMMERCIAL-MISC IMPS,2017,575000
5427,6.08428E+11,DENVER,CO,878800,SFR Grade B,2017,887944
5466,1.31308E+11,DENVER,CO,1555100,SFR Grade B w/RK,2017,975500
5492,23412021000,DENVER,CO,360800,"SFR Grade C, D, or E, w/RK",2017,312000
5493,2.32316E+11,DENVER,CO,777400,RESIDENTIAL-ROWHOUSE,2017,607489
5523,2.20129E+11,DENVER,CO,564500,"SFR Grade C, D, or E, w/RK",2017,475000
5525,5.03824E+11,DENVER,CO,223800,RESIDENTIAL-CONDOMINIUM,2017,223500
5568,1.27439E+11,DENVER,CO,807400,SFR Grade B,2017,610000
5580,2.30245E+11,DENVER,CO,487100,RESIDENTIAL-CONDOMINIUM,2017,435000
5587,6.04206E+11,DENVER,CO,435000,SFR Grade C,2017,390000
5594,2.32215E+11,DENVER,CO,476800,RESIDENTIAL-ROWHOUSE,2017,405000
5603,6.15215E+11,DENVER,CO,159100,RESIDENTIAL-CONDOMINIUM,2017,180000
5620,5.2043E+11,DENVER,CO,371200,SFR Grade C,2017,360000
5630,5.22704E+11,DENVER,CO,294000,COMMERCIAL-RETAIL,2017,10
5697,22505011000,DENVER,CO,358200,SFR Grade C,2017,280000
5725,5.07206E+11,DENVER,CO,359200,"SFR Grade C, D, or E, w/RK",2017,297000
5752,5.14125E+11,DENVER,CO,602500,SFR Grade C,2017,630000
5753,6.17206E+11,DENVER,CO,461100,SFR Grade C,2017,10
5761,6.06422E+11,DENVER,CO,299400,RESIDENTIAL-ROWHOUSE,2017,255000
5780,5.19316E+11,DENVER,CO,350700,"SFR Grade C, D, or E, w/RK",2017,330000
5783,14130013000,DENVER,CO,374900,"SFR Grade C, D, or E, w/RK",2017,345000
5787,5.03113E+11,DENVER,CO,4232500,RESIDENTIAL-APARTMENT,2017,3600000
5803,2.29401E+11,DENVER,CO,614000,RESIDENTIAL-DUPLEX,2017,600000
5823,22420045000,DENVER,CO,353700,SFR Grade C,2017,317000
5851,2.30424E+11,DENVER,CO,539100,RESIDENTIAL-ROWHOUSE,2017,447500
5853,5.1942E+11,DENVER,CO,376000,SFR Grade C,2017,315000
5859,5.16211E+11,DENVER,CO,331700,SFR Grade C,2017,290000
5872,5.02234E+11,DENVER,CO,129100,RESIDENTIAL-CONDOMINIUM,2017,130000
5880,6.15201E+11,DENVER,CO,221800,RESIDENTIAL-CONDOMINIUM,2017,230000
5910,5.08624E+11,DENVER,CO,356800,"SFR Grade C, D, or E, w/RK",2017,335000
5915,2.35223E+11,DENVER,CO,956800,SFR Grade B,2017,860000
5994,4.3621E+11,DENVER,CO,429000,SFR Grade C,2017,392000
6001,2.19405E+11,DENVER,CO,895300,RESIDENTIAL-ROWHOUSE,2017,759000
6086,5.0723E+11,DENVER,CO,462900,"SFR Grade C, D, or E, w/RK",2017,401500
6111,6.09101E+11,DENVER,CO,395500,RESIDENTIAL-ROWHOUSE,2017,339000
6112,18211011000,DENVER,CO,322000,"SFR Grade C, D, or E, w/RK",2017,273000
6203,1.14201E+11,DENVER,CO,7441700,INDUSTRIAL-WAREHOUSE,2017,8500000
6260,6.31204E+11,DENVER,CO,450400,"SFR Grade C, D, or E, w/RK",2017,340000
6296,5.21126E+11,DENVER,CO,329600,SFR Grade C,2017,10
6357,1.15203E+11,DENVER,CO,879700,SFR Grade B,2017,894497
6368,5.25425E+11,DENVER,CO,1503700,SFR Grade B,2017,1200000
